no,year,date,level,traffic,flow_rate,water_temperature,number
114,2017年, 07-05,167.75,16867,2.087,21.88,9
115,2017年, 07-06,166.41,14196,2.072,21.38,4
116,2017年, 07-07,165.57,12646,2.059,22.78,5
117,2017年, 07-08,165.38,12278,2.056,22.78,2
118,2017年, 07-09,165.27,12354,2.049,21.88,5
119,2017年, 07-10,167.72,17675,2.068,21.88,5
120,2017年, 07-11,169.57,20971,2.098,21.88,2
121,2017年, 07-12,169.74,20192,2.124,21.65,7
122,2017年, 07-13,168.75,18175,2.114,22.38,2
123,2017年, 07-14,168.41,17667,2.106,22.38,3
124,2017年, 07-15,168.8,18808,2.103,22.38,4
125,2018年, 06-07,163.61,9775,2.014,21.38,4
126,2018年, 06-08,163.64,9812,2.014,21.38,10
127,2018年, 06-09,163.31,9276,2.008,20.31,15
128,2018年, 06-10,163.03,8847,2.002,19.86,55
129,2018年, 06-11,163.39,9406,2.009,21.88,45
130,2018年, 06-12,163.18,9073,2.005,22.49,35
131,2018年, 06-13,163.04,8863,2.002,22.82,8
132,2018年, 06-14,163.52,9671,2.011,22.38,20
133,2018年, 06-15,164.44,11342,2.025,22.08,12
134,2018年, 06-16,165.48,13121,2.044,22.59,5
135,2018年, 06-17,165.98,13975,2.053,22.49,8
136,2018年, 06-18,166.06,14109,2.054,21.07,8
137,2018年, 06-19,166.06,14108,2.054,22.24,7
138,2018年, 06-20,166.11,14196,2.055,21.88,42
139,2018年, 06-21,167.1,16508,2.059,22.24,33
140,2018年, 06-22,169.0,20583,2.075,22.24,78
141,2018年, 06-23,170.39,23175,2.095,20.31,4
142,2018年, 06-24,170.58,23543,2.098,21.07,10
143,2018年, 06-25,170.35,23025,2.097,22.49,9
144,2018年, 06-26,171.13,24833,2.1,22.49,4
145,2018年, 06-27,171.98,26863,2.103,22.49,6
146,2018年, 06-28,171.82,26663,2.098,22.49,5
147,2018年, 06-29,176.55,40067,2.068,22.59,735
148,2018年, 06-30,178.77,44425,2.095,21.88,3
149,2018年, 07-01,176.22,36367,2.13,21.88,215
150,2018年, 07-02,173.8,29775,2.14,21.88,6
151,2018年, 07-03,173.04,28358,2.129,21.88,3
152,2018年, 07-04,174.24,32492,2.105,22.91,8
153,2018年, 07-05,174.07,32092,2.104,22.96,3
154,2018年, 07-06,175.96,38046,2.079,22.93,5
155,2018年, 07-07,178.91,46029,2.068,22.93,6
156,2019年, 06-03,164.36,11213,2.024,22.38,4
157,2019年, 06-04,164.83,12017,2.032,22.08,4
158,2019年, 06-05,164.85,12033,2.032,22.86,4
159,2019年, 06-06,164.55,11530,2.027,22.86,10
160,2019年, 06-07,165.43,13025,2.043,22.49,5
161,2019年, 06-08,165.23,12700,2.039,22.67,8
162,2019年, 06-09,164.8,11954,2.031,22.59,8
163,2019年, 06-10,164.03,10667,2.017,22.24,11
164,2019年, 06-11,163.68,10110,2.01,22.59,10
165,2019年, 06-12,164.0,10635,2.016,22.24,5
166,2019年, 06-13,165.43,13317,2.037,21.65,6
167,2019年, 06-14,168.44,18838,2.082,21.65,369
168,2019年, 06-15,168.29,18304,2.086,21.38,256
169,2019年, 06-16,167.08,15679,2.076,22.78,9
170,2019年, 06-17,166.22,14250,2.06,21.88,5
171,2019年, 06-18,165.54,13217,2.045,20.31,75
172,2019年, 06-19,167.02,16254,2.06,21.07,2
173,2019年, 06-20,171.1,25488,2.085,21.38,5
174,2019年, 06-21,172.59,28325,2.105,22.67,10
175,2019年, 06-22,169.71,21388,2.097,22.67,2
176,2019年, 06-23,167.21,16258,2.071,22.67,4
177,2019年, 06-24,166.2,14367,2.056,22.08,3
178,2019年, 06-25,165.81,13675,2.05,22.49,2
179,2019年, 06-26,165.63,13363,2.046,22.08,2
180,2019年, 06-27,165.77,13613,2.049,22.59,5
181,2019年, 06-28,165.71,13504,2.048,22.38,5
182,2019年, 06-29,165.88,13788,2.051,22.38,2
183,2019年, 06-30,166.89,15617,2.067,22.08,6
184,2019年, 07-01,167.65,17104,2.077,22.49,2
185,2019年, 07-02,167.2,16204,2.072,22.38,3
186,2019年, 07-03,166.92,15650,2.068,22.38,4
187,2019年, 07-04,166.12,14200,2.055,22.91,3
188,2019年, 07-05,165.8,13650,2.05,22.96,2
189,2019年, 07-06,165.76,13600,2.049,22.93,2
190,2019年, 07-07,165.77,13600,2.049,22.93,0
191,2019年, 07-08,165.56,13300,2.044,22.78,0
192,2019年, 07-09,166.35,15050,2.05,21.88,1
193,2019年, 07-10,167.49,16750,2.075,21.88,17
194,2019年, 07-11,167.59,16950,2.077,21.88,11
195,2019年, 07-12,166.81,15450,2.066,21.65,5
